Gender,Country,Occupation,Self_employed,Family_history,Treatment,Days_Indoors,Growing_Stress,Changes_Habits,Mental_Health_History,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness,Mental_health_interview,Care_options
Female,United States,Corporate,FALSE,FALSE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United States,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,FALSE
Female,United States,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,TRUE
Female,United States,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,MAYBE,TRUE
Female,United States,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,TRUE
Female,Poland,Corporate,FALSE,FALSE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,MAYBE,NOT SURE
Female,Australia,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United States,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,FALSE
Female,United States,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United States,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,FALSE
Female,United States,Corporate,FALSE,TRUE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United States,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United States,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,FALSE
Female,Canada,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,TRUE
Female,United States,Corporate,FALSE,FALSE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United Kingdom,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,MAYBE,FALSE
Female,United States,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,South Africa,Corporate,TRUE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,TRUE
Female,United States,Corporate,FALSE,FALSE,FALSE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,NOT SURE
Female,United States,Corporate,FALSE,TRUE,TRUE,7,TRUE,FALSE,TRUE,Medium,FALSE,FALSE,TRUE,FALSE,FALSE
