Gender,Country,Occupation,Self_employed,Family_history,Treatment,Days_Indoors,Growing_Stress,Changes_Habits,Mental_Health_History,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness,mental_health_interview,care_options
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,11,2
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,2
1,12,1,0,1,1,0,2,1,2,2,0,1,2,11,1
1,13,1,0,0,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,11
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,11
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,11
1,14,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,16,1,0,0,1,0,2,1,2,2,0,1,2,11,11
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,15,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,11
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,2
1,14,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,16,1,1,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,22,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,11
1,22,1,1,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,1,1,1,0,2,1,2,2,0,1,2,2,2
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,1
1,16,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,16,1,0,1,1,0,2,1,2,2,0,1,2,11,1
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,11
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,14,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,13,1,0,0,1,0,2,1,2,2,1,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,17,1,0,1,1,0,2,1,2,2,1,1,2,1,11
1,14,1,0,0,1,0,2,1,2,2,1,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,1,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,1,1,2,11,1
1,11,1,0,1,0,0,2,1,2,2,1,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,1,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,16,1,1,1,1,0,2,1,2,2,1,1,2,1,11
1,13,1,0,0,0,0,2,1,2,2,1,1,2,1,2
1,19,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,13,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,11,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,16,1,0,1,0,0,2,1,2,2,1,1,2,1,11
1,18,1,0,1,1,0,2,1,2,2,1,1,2,1,1
1,14,1,0,0,0,0,2,1,2,2,1,1,2,1,1
1,11,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
