@relation dataminingset

@attribute Gender numeric
@attribute Country numeric
@attribute Occupation numeric
@attribute Self_employed numeric
@attribute Family_history numeric
@attribute Treatment numeric
@attribute Days_Indoors numeric
@attribute Growing_Stress numeric
@attribute Changes_Habits numeric
@attribute Mental_Health_History numeric
@attribute Mood_Swings numeric
@attribute Coping_Struggles numeric
@attribute Work_Interest numeric
@attribute Social_Weakness numeric
@attribute mental_health_interview numeric
@attribute care_options numeric

@data
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,11,2
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,2
1,12,1,0,1,1,0,2,1,2,2,0,1,2,11,1
1,13,1,0,0,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,11
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,11
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,11
1,14,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,16,1,0,0,1,0,2,1,2,2,0,1,2,11,11
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,15,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,11
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,2
1,14,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,16,1,1,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,22,1,0,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,11
1,22,1,1,1,1,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,1,1,1,0,2,1,2,2,0,1,2,2,2
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,1
1,16,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,16,1,0,1,1,0,2,1,2,2,0,1,2,11,1
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,1
1,11,1,0,0,1,0,2,1,2,2,0,1,2,1,11
1,11,1,1,1,1,0,2,1,2,2,0,1,2,1,1
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,0,1,2,1,2
1,11,1,0,1,0,0,2,1,2,2,0,1,2,1,2
1,14,1,0,1,1,0,2,1,2,2,0,1,2,1,1
1,13,1,0,0,1,0,2,1,2,2,1,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,17,1,0,1,1,0,2,1,2,2,1,1,2,1,11
1,14,1,0,0,1,0,2,1,2,2,1,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,1
1,11,1,0,0,0,0,2,1,2,2,1,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,1,1,2,11,1
1,11,1,0,1,0,0,2,1,2,2,1,1,2,1,1
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,11,1,0,0,0,0,2,1,2,2,1,1,2,1,11
1,11,1,0,1,1,0,2,1,2,2,1,1,2,1,2
1,16,1,1,1,1,0,2,1,2,2,1,1,2,1,11
1,13,1,0,0,0,0,2,1,2,2,1,1,2,1,2
1,19,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,13,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,11,1,0,0,1,0,2,1,2,2,1,1,2,1,11
1,16,1,0,1,0,0,2,1,2,2,1,1,2,1,11
